49 52
#################################################
####################     ####  #   ##############
##################  ##      #######   ###########
#################      #   ##########  ##########
################           ######################
#################  ##     #######################
##################           ####################
################                #################
#############   #                ################
############   #                  ###############
###########  #             #       ##############
###########               ###      ##############
##########     #  ##      ####         ##########
##########    #  ###     ### #            #######
#######         #####   ###  ####     ###   #####
#####   #   #     ########  ######     ###   ####
####   #       #### #####  #######  #   ###  ####
###      #   #  ######## # # ####       ###   ###
##      ###    #####  ##    ####  #    ###     ##
##       ########## ## #  #  ####  #  #####    ##
##   #     # # # #           # #############   ##
###   #     ###    ##########  ############## ###
####       # # # ##### ## # ##### #########  ####
#####     # #  #  # ## ###  ######### # #  ######
######   #    #  ## ####### #######  #### #######
######    #  ## # #### ############   ### #######
######  #   #  # ## ####### ###### #  ### #######
###### #  #  #   ##### ## # #####  # #### #######
######       #  # # ##### ########### ### #######
######      ## # ##### ## # ######## #### #######
######  # #  #  #  ###### # ############# #######
#######       #   # #################### ########
########            ## # # ############ #########
#########    # #  #  ##### ##########  ##########
###########      #    # # #########  ############
#############      #  # #######    ##############
#################              ##################
################### # #   #  ####################
#################### #  # # #####################
####################  # ### #####################
#################### # # ## #####################
####################  # ### #####################
####################   #### #####################
#################### #  ### #####################
#################### #  ### #####################
##################     ##### ####################
################   #  # ##### ###################
#############        ## ######   # ##############
#########           #  ############  # ##########
######                               #    #######
#################################################
#################################################
