72 54
########################################################################
####################    #####    ##        #############################
########## ######    #   # #      #      ##       ## ## ##   ###########
########### ##   #         ###          #        #   ##  ###      ######
#########    ###             #                        #  ###    ########
########                                                         #######
###### #  #                                                #      ###  #
##      #                                                          #  ##
####                                                                  ##
###                                    #                             ###
# ###       #  ##        ##            #      ##                     ###
                ##        ##         ##       #                        #
         #      ##   #     ##  #     #       ##    #                   #
 #           #   ##  ##    #  ##     #  #   ####     #            #    #
#            ##  ### ##     ####      ###   ####      ###          #    
##        # #### # ######   ####    ######  ####    ###### #       #    
##        #  ###  ## ## ##    ##   ######## #####  ######## #   #   #  #
#          ## ### # ### ########  ### #################### #        ####
#   #      #   # ## ###### ## ############ ######## ####  ##         ###
## ##       #    # ### ## ## ### ### ##### ####### ####    ##   #    ###
### #        #         # ## ######## ###### ###            #    # # ####
#  ##     # #            ### ## ##### ######            # ##   ####  ###
#  ####     #   #               ######              #    ###   ##    ###
#   ###      #   #  #            ####           ## #   # # #  ###    ###
#    ###     ##  #####            ### #       ######    ##    #      ###
##     #  #   #   ##  ###         ### # #   ####  #    ##  # ###    ####
##    ###  #  ##    # ##     #   ###     #    # ##     ## #  ##    #####
###   ##    #####           #  # ####   ##           ### # ###    ######
###      #   ######       ####   ####   # ###      ######  ##     ######
####       #  ###### ##### ##    #####   #### ########### # ##   #######
####         # # ###### ### #   ######  #  ########### #    ##   #######
####   #   #     ## ####   #   ########    # #### ## ##     ##   #######
####  ## #   #    ## #   ##  ## ###### #     # ##  ##    ##  ##  #######
#### ##  ###       #  # #   #  ######## #     # # # #    ###  # ########
####   ######        # #  ##### ############  #  #      #####   ########
##############    # ##   ###   ########   ###   #       ################
################     #   ##     ######     ##  ##  #  ##################
################       #  ##      ###    ###   #  #   ##################
#################    # ##                    #  ##  # ##################
#################    #    #  ## ## # ########  #     ###################
################# #   #                        ##  # ###################
#################     #    ##      #  #  ##   ##   #####################
#################      #    #  #   #     #    #     ####################
################# #    ##                    ##  #  ####################
#################       ##                 ###   # #####################
#################  #     ####  #   #  #  ####   ########################
##################  #    # ###############     # #######################
##################  #    # #         #  # #    #########################
###################  #    #  ##      #####    # ########################
###################   ##   ## ####### # #   ## #########################
################### #  ##    ## #######    ### #########################
##################### ## #       ####      # ###########################
#############################           ## #############################
########################################################################
